name	electrode_name	type	units	sampling_frequency	stream_id	gain
CH1	e000	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH2	e001	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH3	e002	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH4	e003	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH5	e004	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH6	e005	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH7	e006	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH8	e007	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH9	e008	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH10	e009	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH11	e010	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH12	e011	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH13	e012	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH14	e013	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH15	e014	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH16	e015	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH17	e016	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH18	e017	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH19	e018	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH20	e019	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH21	e020	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH22	e021	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH23	e022	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH24	e023	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH25	e024	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH26	e025	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH27	e026	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH28	e027	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH29	e028	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH30	e029	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH31	e030	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
CH32	e031	n/a	V	30000.0	ElectricalSeries	1.9499999999999999e-07
